patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
a6846099-f729-4951-8591-31d2bbda0242,Mai Lê,857488600554,year:2001,0809669371,john39@example.com,"94 Nguyễn Số, JohnPhường, 134352",Khoe manh,4.16,Bảo Vũ,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Tú Đức Mai,545175956084,year:2005,0748227939,john88@example.org,"3 Hoàng Làng, JohnQuận, 465600",Huyet ap cao,10.58,Mai Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Phúc Lê,448048040720,year:1997,0751305872,maijohn@example.net,"19 Dương Khu, Huyện JohnQuận, 825754",Khoe manh,6.36,Hà Bùi,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Ánh Hoàng,417762679284,year:1975,0750405885,jane74@example.org,"367 Lê Tổ, Huyện JohnThị xã, 730208",Khoe manh,6.28,Cô Kim Bùi,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Hồng Hoàng,602686470225,year:1951,0358805085,tranjane@example.com,"49 Vũ Dãy, JohnThành phố, 648097",Khoe manh,9.19,Phương Quang Lê,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Dương Phạm,318953816012,year:1939,0819506625,nguyenjane@example.org,"4 Jane Ngõ, JaneXã, 712663",Tieu duong,9.43,Anh Tấn Nguyễn,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,An Mai,259838415419,year:1999,0579202571,john46@example.com,"5 Jane Hẻm, Thị xã JaneHuyện, 375570",Huyet ap cao,9.74,Phúc Mai,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Huy Tấn Trần,757937982882,year:1994,0323122849,maijane@example.net,"2 Phạm Tổ, JaneThành phố, 994857",Tim mach,5.05,Phương Văn Phạm,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Anh Anh Phạm,587859969187,year:1998,0854501700,johnle@example.com,"96 John Số, JohnThành phố, 535878",Tieu duong,6.0,Bảo Lê,16/02/2026
8d03c91e-4f8d-4238-a88b-78b5b5b453ca,Hoàng Vũ,369745649730,year:1948,0575516516,vhoang@example.com,"959 Jane Đường, JanePhường, 282968",Tieu duong,9.81,Quý ông Tùng Bùi,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Nhật Mai Mai,620847662749,year:1981,0751225241,johndang@example.com,"23 Jane Làng, Thành phố JaneXã, 594098",Tieu duong,8.2,An Hoàng,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Quang Hữu Hoàng,381730171371,year:1940,0396138433,john26@example.com,"0 Nguyễn Số, JohnXã, 598320",Huyet ap cao,4.77,Xuân Bùi,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Thành Vũ,519835050589,year:1967,0891619508,jtran@example.org,"207 Jane Tổ, JohnHuyện, 879815",Tieu duong,11.55,Nhật Vũ,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Xuân Trần,844253458391,year:1968,0885693009,hoangjane@example.com,"668 Phạm Ngõ, Thị xã JohnPhường, 912051",Tieu duong,9.34,Xuân Lê,28/02/2026
da743152-627b-41a1-bfd6-f23232ffe294,Kim Đặng,589577138768,year:1984,0746318712,john43@example.com,"59 Nguyễn Ngõ, Quận JohnThành phố, 459484",Khoe manh,11.51,Thành Đặng,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Thành Vũ,011438380997,year:1979,0744179574,mtran@example.com,"37 Jane Khu, JohnThị xã, 997803",Khoe manh,7.91,Chi Bùi,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Yến Trần,654624803925,year:1989,0375862918,jane87@example.com,"29 Vũ Tổ, Huyện JaneHuyện, 918659",Khoe manh,4.25,Hải Nguyễn,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Quý ông Khoa Trần,715926470195,year:1954,0999838137,janebui@example.com,"2 Jane Dãy, Thành phố JohnThành phố, 780502",Tim mach,7.22,Khoa Đặng,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Ánh Trần,476391615209,year:1967,0572803405,choang@example.com,"199 Nguyễn Tổ, JaneThành phố, 241730",Khoe manh,10.6,Hà Mai,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Hạnh Mai,934804922475,year:1935,0887998164,johnpham@example.com,"Thị xã JaneQuận, 2 Vũ Làng, 718665",Khoe manh,10.85,Lâm Trần,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Phương Bùi,772169838892,year:1950,0726887254,dangjohn@example.com,"3 Jane Hẻm, JaneXã, 764398",Huyet ap cao,7.71,Vi Đặng,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Nhật Mai,574032821253,year:2004,0879934918,dangjohn@example.com,"056 Mai Khu, JaneQuận, 238140",Tim mach,10.74,Lâm Mai,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Cô Hồng Mai,744375286987,year:1948,0836668388,tranjohn@example.org,"81 Jane Hẻm, Quận JaneThành phố, 747835",Tieu duong,5.99,Ông Huy Dương,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Ông Dũng Dương,862870425773,year:1983,0755662823,dvu@example.org,"2 Jane Làng, Thành phố JohnHuyện, 512598",Khoe manh,5.67,Chị Ánh Bùi,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Thành Hoàng,214417558738,year:1964,0922854238,janetran@example.net,"4 Jane Làng, Quận JohnQuận, 276661",Tim mach,8.39,Quý cô Hà Trần,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Cô Chi Dương,954037656078,year:2001,0762700134,vujohn@example.org,"57 Mai Đường, JanePhường, 838132",Khoe manh,3.78,Hạnh Lê,14/02/2026
ab05347f-d556-437d-8f08-81ee8011316b,Phương Vũ,613470969576,year:1994,0735150261,john90@example.net,"738 John Tổ, JaneThành phố, 674338",Tieu duong,4.7,Quý cô An Đặng,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Ông Anh Lê,289646173941,year:1981,0733989089,hoangjane@example.net,"1 Jane Khu, JohnThành phố, 445359",Tim mach,11.28,Mai Đặng,08/05/2026
c5d95f51-f387-41bd-ad59-72c6134a5a2f,Bà Hồng Đặng,324212850815,year:1996,0339797488,janemai@example.com,"4 Jane Khu, JohnQuận, 108433",Huyet ap cao,11.03,Cô An Phạm,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Ông Hưng Mai,342275903863,year:2004,0857992097,jane97@example.com,"61 Hoàng Đường, Thị xã JohnHuyện, 580377",Khoe manh,4.28,Trọng Hữu Dương,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Ông Trọng Hoàng,684554767496,year:1988,0781354465,jane51@example.com,"97 John Khu, JohnThị xã, 798598",Huyet ap cao,8.09,Mai Hoàng,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Hải Nguyễn,181213926875,year:1980,0577464234,johnvu@example.net,"0 Jane Số, JohnHuyện, 216973",Tieu duong,7.34,Huy Trần,13/04/2026
e05b46c5-5636-4094-a974-31db09a9d1c1,Nhiên Đức Lê,745926348748,year:1959,0363774646,xbui@example.org,"775 John Số, JohnQuận, 784178",Tim mach,8.81,Anh Trí Nguyễn,08/04/2026
297ca4ff-f75d-499f-ab2d-5b0987079ad4,Bà Lâm Trần,816328909844,year:1942,0357115016,ghoang@example.com,"2 Trần Hẻm, JohnPhường, 254156",Khoe manh,9.7,Cô Bảo Trần,11/01/2026
3c5bf3a7-5fbb-40b1-8083-89c8657e01c9,Quý cô Vi Hoàng,744890818032,year:1939,0834174911,dangjane@example.org,"6 Jane Khu, Thành phố JaneThành phố, 511481",Tieu duong,6.99,Cô Thành Hoàng,16/02/2026
3d0a5f0c-0c39-4ec7-9f31-74054d183eba,Anh Hưng Phạm,651404382041,year:1950,0782313940,johnhoang@example.org,"419 Đặng Đường, Thành phố JaneQuận, 436353",Khoe manh,10.68,Tùng Bùi,14/01/2026
81e03a5e-8b48-4496-86ab-d4e7f4124360,Vân Vũ,129504026965,year:1941,0579690730,nguyenjane@example.org,"960 Jane Hẻm, Huyện JaneXã, 369276",Khoe manh,7.07,Hưng Mai Hoàng,13/01/2026
752a7d25-f190-4b7e-86b4-69efb74eba93,Lâm Trí Trần,029896277232,year:1941,0319657396,vujohn@example.net,"0 Đặng Ngõ, JaneQuận, 553455",Tim mach,5.33,Quý cô Nhật Nguyễn,17/03/2026
7f072cb9-2fd3-40c0-b945-f2fd56cb1ab0,Hà Xuân Mai,477965396332,year:1946,0333330270,janedang@example.com,"571 John Số, JohnThành phố, 507812",Tim mach,6.29,Quý ông Bảo Dương,10/03/2026
46494296-6f58-42c3-bf86-cc319d66e815,Thành Trần,002753435548,year:1984,0836558222,lejane@example.com,"004 John Số, Quận JaneQuận, 703582",Khoe manh,9.53,Chị Hải Lê,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Quý cô Bảo Phạm,167863546931,year:1938,0862318549,qbui@example.org,"77 Jane Làng, JaneThị xã, 214667",Tim mach,5.38,Bác Minh Hoàng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Cô Dương Vũ,604700061180,year:1959,0538661175,john21@example.com,"026 Dương Đường, JohnHuyện, 609980",Khoe manh,9.91,Vi Phạm,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Lâm Nguyễn,603900834322,year:2005,0845995093,johnhoang@example.org,"23 Jane Tổ, Thành phố JaneThành phố, 607379",Tieu duong,6.63,Duyên Bùi,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Bác Châu Trần,333382289482,year:2007,0306648168,tranjane@example.com,"622 Lê Dãy, Quận JohnHuyện, 820547",Tieu duong,10.39,Châu Thế Đặng,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Quý cô Phương Dương,292400946025,year:1945,0761046527,ivu@example.org,"5 John Khu, Quận JohnHuyện, 586398",Tieu duong,6.3,Chị Phương Phạm,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Bà Dương Trần,859281895520,year:1987,0715256945,tranjohn@example.com,"968 Trần Đường, JaneThành phố, 387890",Tieu duong,8.99,Nhật Phạm,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Cô Hà Nguyễn,625528745394,year:1949,0523891826,janedang@example.com,"07 Jane Khu, Thị xã JaneThị xã, 665642",Tim mach,10.95,Châu Nguyễn,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,An Trần,302858841308,year:1962,0520026615,jane20@example.net,"3 Nguyễn Số, JohnThành phố, 404193",Khoe manh,11.18,Quý cô Hồng Lê,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,Hải Bảo Hoàng,402253176727,year:1985,0864921528,jane89@example.com,"Thị xã JohnThành phố, 99 John Đường, 749352",Tieu duong,5.92,Trung Thế Bùi,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Khoa Tấn Dương,067600233930,year:1992,0348559287,buijohn@example.net,"1 Trần Hẻm, Thị xã JohnHuyện, 614053",Tieu duong,6.21,Linh Bùi,05/05/2026
9c2dfa97-43ad-4d62-b17c-fb21cdbc2c1c,Quang Hoàng,751057454635,year:1975,0788137921,vujohn@example.org,"05 Jane Hẻm, Thành phố JohnXã, 162995",Tieu duong,10.1,Hoàng Thị Phạm,16/01/2026
a7edc8d8-713f-4f8c-ac8b-e53758ab4778,Yến Vũ,491426265072,year:1962,0889819805,lejohn@example.com,"42 John Ngõ, Quận JohnHuyện, 594165",Tim mach,5.54,Cô Bảo Bùi,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Quý cô Nhật Dương,863635745394,year:2000,0388751306,buijohn@example.net,"734 Dương Làng, Quận JaneThị xã, 319739",Tim mach,5.55,Hương Phạm,08/01/2026
9a4ffc0c-9165-42ed-8c63-6e95025f5543,Bảo Mai Bảo Phạm,958981651861,year:1997,0515152374,ynguyen@example.net,"Quận JohnThành phố, 39 Hoàng Đường, 849957",Tim mach,11.43,Nhật Bùi,25/03/2026
669d01ff-1634-425b-93f3-007383e96ef4,Vân Mai,118438716708,year:2000,0923904127,nguyenjohn@example.com,"379 Phạm Đường, JaneHuyện, 266019",Khoe manh,6.62,Kim Nguyễn,02/03/2026
ea87855e-a382-45d3-9e0e-f546b0b6dedf,Châu Hữu Mai,895955057688,year:1965,0551845694,janedang@example.com,"1 Jane Dãy, JaneThị xã, 306227",Tim mach,7.3,Anh Trọng Phạm,09/04/2026
265cb9d9-8962-4f6e-929c-93b333c08bf1,Cô Yến Phạm,827184746873,year:1951,0737218751,duongjohn@example.net,"4 Jane Làng, JaneHuyện, 858801",Tieu duong,8.64,Quý cô Hương Mai,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Nhật Văn Lê,800380293086,year:1944,0984157440,janetran@example.com,"56 Phạm Khu, Thị xã JohnThành phố, 212978",Tim mach,10.09,Huy Nguyễn,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Quý cô Xuân Dương,786664560151,year:1975,0801627342,vujohn@example.com,"1 John Đường, Thị xã JaneThành phố, 199013",Huyet ap cao,10.25,Hưng Văn Hoàng,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Bà Xuân Dương,522867407008,year:1990,0569930326,vpham@example.com,"84 Hoàng Dãy, JohnHuyện, 323627",Khoe manh,10.04,Phương Hoàng,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Hồng Mai,892169190334,year:1941,0502573264,john94@example.net,"39 Jane Đường, JohnXã, 336910",Huyet ap cao,6.24,Bác Dũng Vũ,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Khoa Mai Hoàng,453308445801,year:1947,0786309274,janehoang@example.org,"43 Jane Dãy, JaneHuyện, 406553",Tim mach,10.66,Bác Quang Vũ,17/02/2026
345af934-b42a-4d93-9aba-0f15b2149062,Tùng Hoàng Nguyễn,147526428963,year:1987,0367044977,john52@example.com,"709 Nguyễn Dãy, Huyện JaneXã, 211557",Tieu duong,4.84,Chị Phương Mai,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Vân Hoàng,964452227411,year:1980,0769462392,johnpham@example.org,"591 John Tổ, Thị xã JanePhường, 123136",Khoe manh,5.61,Bà Linh Nguyễn,15/01/2026
0c6b7074-ab10-4c9b-9168-2e09f1f7d904,Xuân Trần,969642886200,year:1966,0714993305,lduong@example.org,"260 Jane Ngõ, Huyện JohnThành phố, 479896",Khoe manh,7.8,Dương Mai,04/01/2026
ac8d6c7d-b2a6-4468-902b-124380913ac1,Phương Hoàng,573198244022,year:2006,0994621665,john66@example.com,"40 John Làng, JaneHuyện, 643366",Khoe manh,3.93,Chị Thảo Phạm,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,Quang Hoàng,016185527536,year:1946,0969053678,johnduong@example.org,"39 Trần Ngõ, Thành phố JaneThị xã, 387122",Huyet ap cao,5.19,Lâm Hoàng Dương,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Cô Nhật Bùi,354873909621,year:1954,0909471538,duongjane@example.net,"95 Vũ Dãy, JohnThành phố, 975267",Tim mach,8.55,Cô Ngọc Vũ,30/04/2026
f80b2cea-658e-44a2-9879-cf35f4719986,Dũng Bùi,434506586377,year:2002,0302479995,xle@example.org,"47 Jane Làng, JohnXã, 256147",Tieu duong,8.46,Chị Hà Bùi,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,Phương Nguyễn,310725950363,year:1947,0308665611,dangjane@example.com,"40 John Dãy, Huyện JohnHuyện, 137959",Tieu duong,9.5,Khoa Hoàng Dương,17/02/2026
af70de70-2b69-495e-8567-1b58926bffa5,Hà Thị Đặng,317400494074,year:1976,0918691070,lpham@example.net,"6 Phạm Đường, JohnHuyện, 579802",Tim mach,5.41,Thành Hoàng,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Ông Dũng Mai,726297600257,year:1953,0341395399,snguyen@example.net,"753 John Ngõ, JaneThành phố, 789814",Tim mach,11.35,Nhiên Nguyễn,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Hà Thị Mai,958221631058,year:1944,0777790262,duongjohn@example.net,"607 Lê Tổ, JanePhường, 282872",Tim mach,9.6,Khoa Trần,15/04/2026
15c1604f-ea16-4354-a35f-c9c198049562,Phương Hữu Phạm,600970076616,year:1957,0895554176,vujohn@example.com,"0 John Khu, JanePhường, 464206",Tieu duong,11.98,Quý ông Trọng Đặng,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,Trung Bùi,708818621167,year:1982,0845392723,john84@example.com,"534 Lê Tổ, JohnThị xã, 793742",Tieu duong,6.31,Cô Thảo Lê,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Tú Phạm,516485094881,year:1960,0540470727,john34@example.net,"665 Jane Dãy, JohnPhường, 678910",Huyet ap cao,3.56,Huy Mai Lê,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Dũng Vũ,279865227952,year:1988,0346800140,vpham@example.net,"316 Bùi Hẻm, Huyện JanePhường, 477335",Tim mach,6.62,Minh Mai,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,Anh Trọng Dương,697975793547,year:1958,0980847520,janetran@example.net,"324 Jane Hẻm, JaneQuận, 185301",Tieu duong,4.02,Bác Minh Vũ,28/03/2026
90bde900-1529-46f5-aad1-1fe87d1b695e,Tú Hữu Đặng,180053424011,year:1975,0321395166,tranjane@example.org,"542 Mai Khu, JaneThành phố, 186876",Khoe manh,7.38,Linh Lê,27/02/2026
7321a8b2-0840-405a-bfd2-f491dff389aa,Anh Nhiên Lê,596748471883,year:1995,0512520492,hoangjane@example.com,"13 Mai Tổ, JohnHuyện, 155160",Khoe manh,5.03,Phương Lê,02/02/2026
4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Quý cô Lâm Bùi,683382290373,year:2005,0570166270,janeduong@example.net,"7 Đặng Khu, JohnPhường, 154962",Khoe manh,9.22,Hà Thị Vũ,20/03/2026
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,Yến Đặng,912059961867,year:1935,0941208706,johnvu@example.org,"602 Đặng Dãy, Huyện JohnThị xã, 246851",Tieu duong,7.29,Hạnh Đặng,20/01/2026
75a72686-d632-4d31-88ac-ffcfa04d4d14,Bảo Tấn Phạm,969840569709,year:1995,0551720910,cmai@example.org,"86 Lê Số, Huyện JohnPhường, 523946",Huyet ap cao,7.02,Quý cô Nhật Phạm,15/02/2026
b4258e19-1758-447e-a7cd-e1436de21429,Hà Thị Mai,589462473417,year:2000,0975809443,john06@example.org,"679 Bùi Dãy, JohnHuyện, 576491",Huyet ap cao,10.72,Thảo Nguyễn,13/03/2026
61fa01ba-231a-47c7-8c9b-ff5ce1887eaf,Hải Nguyễn,331194088428,year:1936,0970997099,johnbui@example.org,"1 Đặng Ngõ, Thành phố JaneQuận, 276477",Tieu duong,5.78,Quý cô Lan Trần,06/05/2026
99db1302-8dab-46d3-bf87-dfc2159152f2,Dũng Hữu Mai,467100046000,year:1963,0837564669,john13@example.org,"5 Jane Ngõ, JaneThành phố, 446380",Tim mach,10.09,Bảo Phạm,15/01/2026
0387f74d-1149-4096-965d-744f0445c1a8,Ông Phúc Lê,741439907316,year:1943,0509149325,jane68@example.net,"6 Dương Hẻm, JaneThành phố, 850754",Tieu duong,5.72,Quý cô Nhật Nguyễn,04/05/2026
ae59aa52-a65b-422b-95a3-86d9c362a810,Nhiên Đức Vũ,550684681390,year:1967,0918913495,nmai@example.com,"750 John Số, Huyện JohnPhường, 332121",Khoe manh,5.06,Phương Bảo Dương,25/01/2026
44cdbfdd-df9b-441e-87f7-bda1bff15840,Anh Trung Lê,713011299639,year:1993,0757292460,johnpham@example.net,"680 Jane Số, Quận JohnXã, 932020",Khoe manh,3.63,Anh Vũ Mai,14/02/2026
0b461173-00a8-4473-8242-5912bda3c162,Cô Khoa Nguyễn,562337679584,year:1999,0909710570,shoang@example.org,"10 Đặng Tổ, Quận JohnQuận, 146100",Tim mach,10.43,Xuân Vũ,11/04/2026
66a302d6-f43e-4c48-8bc1-f9e5fb3df063,Quang Lê,343945352108,year:1977,0365510336,janedang@example.org,"2 John Khu, Quận JohnPhường, 953689",Tieu duong,7.75,Hà Mai,05/01/2026
a2cd1590-58af-493c-8aa2-b4c93ba5bd76,Hưng Bảo Phạm,820705578125,year:1986,0772379278,john08@example.net,"956 John Đường, JaneXã, 306914",Huyet ap cao,9.89,Hạnh Văn Hoàng,21/04/2026
f6d70248-a995-4cc3-af5b-09a60ff1c51f,Tùng Mai Đặng,146782581479,year:1978,0961543769,johnle@example.org,"893 Jane Tổ, JohnXã, 178872",Khoe manh,11.74,Nam Trần,10/02/2026
43d78f2b-769d-41e3-8eed-412473b0d676,Ông Bảo Lê,904069919269,year:1976,0590191554,john70@example.org,"50 Hoàng Tổ, JaneQuận, 446950",Khoe manh,9.55,Anh Minh Dương,28/01/2026
d49347fc-0fc9-4d2e-830f-9be91f178f93,Huy Xuân Bùi,305281953719,year:1986,0810755105,maijane@example.org,"338 Hoàng Khu, JaneQuận, 476179",Tieu duong,3.72,Ngọc Vũ,06/01/2026
2c3d17e2-6d39-4a75-aee7-0ab261fa8e7a,Bà Hải Phạm,432711026344,year:1973,0375180924,john74@example.com,"132 Phạm Làng, JaneThị xã, 143287",Tim mach,5.78,Thảo Dương,04/01/2026
b69f75c5-c82b-41be-a1eb-64e6fd498e20,Cô Thảo Phạm,719738366222,year:2003,0324114850,gpham@example.org,"183 John Tổ, JohnXã, 602295",Khoe manh,6.32,Ánh Nguyễn,12/02/2026
cc21cbdb-fb8f-48c4-98b4-8ead93608edf,Ông Tú Hoàng,398332522747,year:1967,0804027291,cnguyen@example.com,"56 Bùi Khu, JohnThị xã, 492892",Khoe manh,5.88,Quý ông Trung Trần,03/04/2026
9d37efb6-eafb-4e90-94ec-84ce002ccb25,Hoàng Vũ,121008930859,year:1979,0326867464,nguyenjohn@example.com,"8 Hoàng Tổ, Thị xã JohnPhường, 313374",Huyet ap cao,9.58,Ngọc Dương,07/05/2026
